InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,DemandProfile,J,BatteryScale,PVScale,Fairness,House,InstFolder,InstanceID,Status,PVReceivedExpected,PVReceivedMin,PVReceivedMax,CostExpected,CostMin,CostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,mixed2,5,1.0,1.0,SA,2,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,162.06579128739435,39.76068872509733,223.95818887723482,151741.66688923276,145632.08020330666,166674.4919259658,0.048135346283167776,0.008960291641813072,0.1327646413240961,39.3662109375,25.97
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,mixed2,5,1.0,1.0,SA,3,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,140.9989477623442,57.02055334986908,291.7683681575981,151951.91424009757,126421.8233738148,174323.96955589484,0.027677185802226206,1.2176363378030079e-5,0.13276513248546404,39.3662109375,25.97
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,mixed2,5,1.0,1.0,SA,4,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,160.896142838151,81.82044783551288,249.2498658253158,151698.73195537904,120073.0478132213,171943.5660646996,0.021649856231521016,2.7961603977801477e-5,0.1076478759960178,39.3662109375,25.97
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,mixed2,5,1.0,1.0,SA,5,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,148.49913256476626,85.06012961921225,242.9620439347031,151712.58164635018,129978.86782563652,175962.3402736819,0.023655254399522548,2.0160186496817227e-5,0.10160142966358261,39.3662109375,25.97
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,mixed2,5,1.0,1.0,SA,1,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,124.02694885610559,79.90084568453346,163.98948596011485,128206.48729887788,114414.42710214404,134594.22754596337,0.028005455029299065,3.3454434574282066e-5,0.06375299059451371,28.548096895217896,10.81
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,mixed2,5,1.0,1.0,SA,2,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,120.46028812453973,42.13320112761618,220.7102161074042,138085.69734764862,122844.48643513625,157905.41097594495,0.042924353675134946,0.00046274881007726305,0.0872571463005476,28.548096895217896,10.81
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,mixed2,5,1.0,1.0,SA,3,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,129.18059882943697,78.07425233015114,177.7541752774465,146917.54815591048,140637.99021266986,152403.0992288397,0.019972218671397434,7.60810423001503e-6,0.057155578749126974,28.548096895217896,10.81
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,mixed2,5,1.0,1.0,SA,4,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,118.6071464696922,38.133201127616175,213.55532357757687,147789.00367003787,104188.28658946847,183485.57926932746,0.021040018127228437,8.490651445397628e-6,0.11770478997979834,28.548096895217896,10.81
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,mixed2,5,1.0,1.0,SA,5,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,119.64536064958298,47.50795188734712,211.54418710523424,149134.71334240973,107243.49835406418,185444.37163648073,0.020784362881833496,4.252313787038756e-5,0.11547903024339778,28.548096895217896,10.81
2,Drahi_2.csv,6,4,4,0.6,100.0,10.0,mixed2,5,1.0,1.0,SA,1,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,60.10092442416637,0.0,155.73389097513925,149862.69089762247,147336.58984756534,152148.69645120174,0.013099088014041962,2.9916575863995664e-6,0.05475519620742868,33.997694969177246,12.16
