InstanceNo,InstanceFile,NBstage,Childs,Periods,#scen,Theta,Avg_d,Dev_d,J,Fairness,InstFolder,Status,ExpectedCost,ScenarioCostExpected,ScenarioCostMin,ScenarioCostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
9,Drahi_9.csv,6,6,4,7776,0.2,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,751839.9743204898,751839.9743204686,662855.0847818181,861490.2514239848,0.14615878347960234,5.210283106162637e-6,0.8212430413034365,43.75927114486694,24.73
9,Drahi_9.csv,6,6,4,7776,0.2,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,736275.1286454742,736275.1286454716,627580.3684136064,894853.8447562074,0.14558796508398747,1.7801339066393192e-6,1.414902867911814,58.38239574432373,39.65
9,Drahi_9.csv,6,6,4,7776,0.6,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,828786.9011224537,828786.9011224643,692222.4570503471,1.090868910062789e6,0.19564403670963926,9.560109417416808e-6,1.1342344494348462,40.89056897163391,26.33
9,Drahi_9.csv,6,6,4,7776,0.6,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,726228.4058033368,726228.405803399,597591.1799406327,817676.0688015202,0.21026985013901833,0.0,4.58195324511765,37.951844215393066,21.14
9,Drahi_9.csv,6,6,4,7776,0.2,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.3197044062289423e6,1.3197044062289854e6,1.2248407257304871e6,1.4481396209004978e6,0.1304757966194923,6.934326527367362e-7,1.174526069839452,45.75950789451599,21.94
9,Drahi_9.csv,6,6,4,7776,0.2,100.0,20.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.3580878878033785e6,1.3580878878033971e6,1.20365498546178e6,1.5457310921048597e6,0.18751851134564448,5.944160493562477e-6,1.5165491024218019,40.61554718017578,20.65
9,Drahi_9.csv,6,6,4,7776,0.6,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.4440925700268247e6,1.4440925700268538e6,1.1709039181839135e6,1.6202915558232483e6,0.3620068453134325,0.0,9.054511647819236,50.1948721408844,28.71
9,Drahi_9.csv,6,6,4,7776,0.6,100.0,20.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.2998315149902191e6,1.2998315149902317e6,1.1552100504841213e6,1.4982388305949352e6,0.19326976660471876,9.476764325035495e-6,4.051475158379682,59.57298278808594,31.14
10,Drahi_10.csv,6,6,4,7776,0.2,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,729931.7292860615,729931.72928606,673422.4719363047,783587.2369695223,0.09325190685401727,4.030040337202476e-7,0.6460734387242905,42.65459322929382,21.86
10,Drahi_10.csv,6,6,4,7776,0.2,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,657149.2899469633,657149.2899469677,566482.6453033298,766420.7139225762,0.08746764607440574,8.584621989526032e-6,0.6374229812441554,49.01785612106323,28.42
10,Drahi_10.csv,6,6,4,7776,0.6,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,536575.5501410194,536575.5501410253,331628.7572028565,770882.3322475703,0.1787582175671283,8.026679960327092e-6,3.9471909433615764,51.388967990875244,31.14
10,Drahi_10.csv,6,6,4,7776,0.6,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,766858.0411457227,766858.041145719,658527.6596792283,871187.0354602786,0.19229919954542232,2.3937245643636113e-5,2.0946676164573375,39.53724908828735,23.49
10,Drahi_10.csv,6,6,4,7776,0.2,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.400064584341105e6,1.400064584341101e6,1.2703757838181446e6,1.5235263728240177e6,0.2735383278060195,2.25769248537484e-6,2.030622053814636,93.72942924499512,56.47
10,Drahi_10.csv,6,6,4,7776,0.2,100.0,20.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.4041438598977248e6,1.404143859897659e6,1.2887121270485008e6,1.5392417206819307e6,0.24343043946532705,3.7762657375197816e-6,1.6361715216049832,113.57607889175415,47.83
10,Drahi_10.csv,6,6,4,7776,0.6,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.5072484254264073e6,1.5072484254263842e6,1.4064919649856447e6,1.6651069969909964e6,0.30943245133313874,1.0642156675775296e-6,6.8857741332404405,69.16804909706116,40.96
10,Drahi_10.csv,6,6,4,7776,0.6,100.0,20.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.482409361976501e6,1.4824093619765076e6,1.3395207527390786e6,1.637053754685745e6,0.15091690741656105,6.042647467074313e-7,4.763760425174595,77.40715408325195,46.75
