InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,J,House,AllGridExpectedCost
8,Drahi_8.csv,6,4,4,0.6,100.0,20.0,5,2,147603.86924056214
8,Drahi_8.csv,6,4,4,0.6,100.0,20.0,5,3,255159.92229174823
8,Drahi_8.csv,6,4,4,0.6,100.0,20.0,5,4,160473.87948761275
8,Drahi_8.csv,6,4,4,0.6,100.0,20.0,5,5,256005.23991056668
9,Drahi_9.csv,6,4,4,0.6,100.0,20.0,5,1,153716.63340877616
9,Drahi_9.csv,6,4,4,0.6,100.0,20.0,5,2,154251.03431863245
9,Drahi_9.csv,6,4,4,0.6,100.0,20.0,5,3,153897.51658836703
9,Drahi_9.csv,6,4,4,0.6,100.0,20.0,5,4,165835.62351534714
9,Drahi_9.csv,6,4,4,0.6,100.0,20.0,5,5,384011.5601081869
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,10,1,155949.27678393162
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,10,2,154434.0501409747
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,10,3,150913.24183764376
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,10,4,150923.93942006893
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,10,5,155110.6494242031
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,10,6,155115.75042508016
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,10,7,155040.27162371523
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,10,8,153028.6733997917
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,10,9,150995.26668976725
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,10,10,150472.66160431408
10,Drahi_10.csv,6,4,4,0.2,100.0,10.0,10,1,159916.4811644751
10,Drahi_10.csv,6,4,4,0.2,100.0,10.0,10,2,155475.0816439072
10,Drahi_10.csv,6,4,4,0.2,100.0,10.0,10,3,155846.81291741392
10,Drahi_10.csv,6,4,4,0.2,100.0,10.0,10,4,157858.50510186775
10,Drahi_10.csv,6,4,4,0.2,100.0,10.0,10,5,157033.18233482423
10,Drahi_10.csv,6,4,4,0.2,100.0,10.0,10,6,157355.411362798
10,Drahi_10.csv,6,4,4,0.2,100.0,10.0,10,7,157003.41820417036
10,Drahi_10.csv,6,4,4,0.2,100.0,10.0,10,8,156747.12440929565
10,Drahi_10.csv,6,4,4,0.2,100.0,10.0,10,9,156694.95466567608
10,Drahi_10.csv,6,4,4,0.2,100.0,10.0,10,10,156583.4818594545
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,10,1,145173.14697501957
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,10,2,146388.703331948
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,10,3,145970.6602068325
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,10,4,152884.68841421907
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,10,5,158246.50293762053
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,10,6,152607.5289160678
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,10,7,150918.97664162767
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,10,8,152319.97982542546
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,10,9,150122.4995770928
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,10,10,160760.42506865432
3,Drahi_3.csv,6,4,4,0.2,100.0,10.0,10,1,159974.93045317946
3,Drahi_3.csv,6,4,4,0.2,100.0,10.0,10,2,156361.94768542724
3,Drahi_3.csv,6,4,4,0.2,100.0,10.0,10,3,150104.7628952756
3,Drahi_3.csv,6,4,4,0.2,100.0,10.0,10,4,160125.7050540704
3,Drahi_3.csv,6,4,4,0.2,100.0,10.0,10,5,157850.36985503067
3,Drahi_3.csv,6,4,4,0.2,100.0,10.0,10,6,149549.4098540577
3,Drahi_3.csv,6,4,4,0.2,100.0,10.0,10,7,156486.63049331272
3,Drahi_3.csv,6,4,4,0.2,100.0,10.0,10,8,159351.3804824119
3,Drahi_3.csv,6,4,4,0.2,100.0,10.0,10,9,149848.04562674087
3,Drahi_3.csv,6,4,4,0.2,100.0,10.0,10,10,158296.99996111964
4,Drahi_4.csv,6,4,4,0.2,100.0,10.0,10,1,146633.48949748045
4,Drahi_4.csv,6,4,4,0.2,100.0,10.0,10,2,151760.4920528785
4,Drahi_4.csv,6,4,4,0.2,100.0,10.0,10,3,146075.7769797567
4,Drahi_4.csv,6,4,4,0.2,100.0,10.0,10,4,156877.08879128358
4,Drahi_4.csv,6,4,4,0.2,100.0,10.0,10,5,168161.7930103231
4,Drahi_4.csv,6,4,4,0.2,100.0,10.0,10,6,146387.9655899816
4,Drahi_4.csv,6,4,4,0.2,100.0,10.0,10,7,151765.89772074838
4,Drahi_4.csv,6,4,4,0.2,100.0,10.0,10,8,146456.46948648963
4,Drahi_4.csv,6,4,4,0.2,100.0,10.0,10,9,151880.3165021298
4,Drahi_4.csv,6,4,4,0.2,100.0,10.0,10,10,158971.85391632188
5,Drahi_5.csv,6,4,4,0.2,100.0,10.0,10,1,164108.4282331945
5,Drahi_5.csv,6,4,4,0.2,100.0,10.0,10,2,162654.86272025452
5,Drahi_5.csv,6,4,4,0.2,100.0,10.0,10,3,153540.03188856217
5,Drahi_5.csv,6,4,4,0.2,100.0,10.0,10,4,165038.0493902726
5,Drahi_5.csv,6,4,4,0.2,100.0,10.0,10,5,165583.59581612673
5,Drahi_5.csv,6,4,4,0.2,100.0,10.0,10,6,160537.53636649958
5,Drahi_5.csv,6,4,4,0.2,100.0,10.0,10,7,160269.54032302627
5,Drahi_5.csv,6,4,4,0.2,100.0,10.0,10,8,159204.7644998242
5,Drahi_5.csv,6,4,4,0.2,100.0,10.0,10,9,160288.80505787247
5,Drahi_5.csv,6,4,4,0.2,100.0,10.0,10,10,164696.44578620064
6,Drahi_6.csv,6,4,4,0.2,100.0,10.0,10,1,149436.61294161488
6,Drahi_6.csv,6,4,4,0.2,100.0,10.0,10,2,181369.62852204996
6,Drahi_6.csv,6,4,4,0.2,100.0,10.0,10,3,180248.47415712135
6,Drahi_6.csv,6,4,4,0.2,100.0,10.0,10,4,154384.81705244468
6,Drahi_6.csv,6,4,4,0.2,100.0,10.0,10,5,152907.60070753953
6,Drahi_6.csv,6,4,4,0.2,100.0,10.0,10,6,151903.25105651465
6,Drahi_6.csv,6,4,4,0.2,100.0,10.0,10,7,155130.5595294455
6,Drahi_6.csv,6,4,4,0.2,100.0,10.0,10,8,150167.43225468372
6,Drahi_6.csv,6,4,4,0.2,100.0,10.0,10,9,152673.96377427838
6,Drahi_6.csv,6,4,4,0.2,100.0,10.0,10,10,150262.40835453413
7,Drahi_7.csv,6,4,4,0.2,100.0,10.0,10,1,160732.81774442917
7,Drahi_7.csv,6,4,4,0.2,100.0,10.0,10,2,157842.18997023973
