InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,DemandProfile,J,BatteryScale,PVScale,Fairness,House,InstFolder,Status,PVReceivedExpected,PVReceivedMin,PVReceivedMax,CostExpected,CostMin,CostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
5,Drahi_5.csv,6,4,4,0.2,100.0,20.0,mixed,5,1.0,1.0,SA,2,inst/inst2020,true,322.4946753233573,157.45259598282357,537.5028936694646,150995.12827814277,144134.29671495632,159861.10273633583,0.04084540495239616,3.544058981105707e-5,0.09571429563699907,8.337683916091919,2.87
5,Drahi_5.csv,6,4,4,0.2,100.0,20.0,mixed,5,1.0,1.0,SA,3,inst/inst2020,true,307.8722407528557,140.0840722844226,572.9521829454659,140318.54254524183,95404.71756254487,188590.76121098624,0.044351389192076505,6.584068188561403e-5,0.2148614878304028,8.337683916091919,2.87
5,Drahi_5.csv,6,4,4,0.2,100.0,20.0,mixed,5,1.0,1.0,SA,4,inst/inst2020,true,322.5923607779505,172.83989936581398,549.2775498582101,156057.27059801054,141727.41582098446,167631.87855542812,0.03404429925496959,2.4343802095873177e-5,0.09495325658230908,8.337683916091919,2.87
5,Drahi_5.csv,6,4,4,0.2,100.0,20.0,mixed,5,1.0,1.0,SA,5,inst/inst2020,true,308.75198168311346,128.61198805728014,615.2655929467353,139986.476530598,103249.77840346903,171828.95465560321,0.04515565816354244,0.00011336479409740295,0.183252960402658,8.337683916091919,2.87
5,Drahi_5.csv,6,4,4,0.6,100.0,10.0,mixed,5,1.0,1.0,SA,1,inst/inst2020,true,291.90375173020357,0.0,951.3662234930848,139234.09431153254,96260.09213351808,170604.68613472438,0.5135682301137001,6.519012212592917e-5,2.2923133674927234,12.875946998596191,7.27
5,Drahi_5.csv,6,4,4,0.6,100.0,10.0,mixed,5,1.0,1.0,SA,2,inst/inst2020,true,119.95925022851826,0.0,358.7414470449794,148480.0724617191,124578.14879660668,166303.41737874097,0.3580841157758338,7.343609869610732e-5,1.9940143950703024,12.875946998596191,7.27
5,Drahi_5.csv,6,4,4,0.6,100.0,10.0,mixed,5,1.0,1.0,SA,3,inst/inst2020,true,616.7048278368042,0.0,2670.7281124975343,164108.20052872272,1408.48,6.048188739436248e7,0.3752109549041844,0.015779769469301524,1.5584190512738985,12.875946998596191,7.27
5,Drahi_5.csv,6,4,4,0.6,100.0,10.0,mixed,5,1.0,1.0,SA,4,inst/inst2020,true,285.12696565682984,0.0,1045.984468858605,139463.6942552305,98683.4842440418,177425.38558874503,0.5101400402707921,3.740711408792694e-5,2.0888346516014407,12.875946998596191,7.27
5,Drahi_5.csv,6,4,4,0.6,100.0,10.0,mixed,5,1.0,1.0,SA,5,inst/inst2020,true,614.1007095259863,0.0,2458.2599488897,161151.8063372169,2607.8898614958507,5.7463242281858474e7,0.3744144127006057,0.00033839140958548744,1.6652609775855778,12.875946998596191,7.27
5,Drahi_5.csv,6,4,4,0.6,100.0,20.0,mixed,5,1.0,1.0,SA,1,inst/inst2020,true,105.80321525265796,16.127888407045294,467.14120212217483,139765.8165244202,96565.69195603166,184796.42847413808,0.8305526001711928,0.0032950380096174094,2.3283474105703412,16.192839860916138,10.59
